IDX	WORD_TEXT	FEATURE_TEXT	PREDICTED_CLASS
PMID_9097440_1	The MarA protein is a member of the AraC subfamily of helix-turn-helix transcriptional activators and has more than 45 % sequence identity with the SoxS and Rob proteins ( 10 , 14 , 15 ) .	the mara protein be a member of the AraC subfamily of helix-turn-helix transcriptional activator and have many than 45 % sequence identity with the SoxS and rob protein ( 10 , 14 , 15 ) . dt TF FWRP vbz dt NN pp-f dt TF NN pp-f DMOT FWRP NNS cc vdz JJR cs crd NN NN NN pp dt TF cc TF FWRP ( crd , crd , crd ) .	OTHER
PMID_9097440_2	The MarA protein controls a set of genes ( mar and soxRS regulons , including sodA , nfo , micF , inaA , fumC , zwf , and fpr ) and provides E. coli cells with resistance to a large number of antibiotics and superoxide-generating reagents ( 5 , 9 , 21 , 25 , 34 , 36 ) .	the mara protein control a set of gene ( mar and soxRS regulon , include soda , nfo , micF , inaA , fumC , zwf , and fpr ) and provide E. coli cell with resistance to a large number of antibiotic and superoxide-generating reagent ( 5 , 9 , 21 , 25 , 34 , 36 ) . dt TF FWRP VBZ dt NN pp-f FWRP ( FW cc NN NNS , FWRP NN , NN , NN , NN , NN , NN , cc NN ) cc VBZ FW FWRP NNS pp FWRP p-acp dt JJ NN pp-f FWRP cc JJ NNS ( crd , crd , crd , crd , CD , CD ) .	RP
PMID_9097440_3	The partially determined DNA sequence and restriction enzyme map showed that the 3.0-kb fragment contained the 0.7-kb marRA locus , lacking the codons for the N-terminal 25 amino acids of MarR and the codons for the C-terminal 16 amino acids of MarA ( designated mar RA ) .	the partial determine dna sequence and restriction enzyme map show that the 3.0-kb fragment contain the 0.7-kb marRA locus , lack the codon for the N-terminal 25 amino acid of Marr and the codon for the c-terminal 16 amino acid of mara ( designate mar ra ) . dt av-j VBN NN NN cc NN NN NN VBN cst dt JJ NN VBD dt JJ NN NN , VBG dt NNS c-acp dt DPOS crd FWDOM FWDOM pp-f TF cc dt NNS c-acp dt DPOS crd FWDOM FWDOM pp-f TF ( VBN FW NN ) .	OTHER
PMID_9097440_4	The MarA protein has strong homology with Rob and SoxS proteins .	the mara protein have strong homology with rob and SoxS protein . dt TF FWRP vdz JJ NN pp TF cc TF FWRP .	OTHER
PMID_9097440_5	Derepression of the mar operon causes an increase in MarA , a transcriptional activator protein , and elevates expression of the mar regulon genes ( 15 ) .	derepression of the mar operon cause a increase in mara , a transcriptional activator protein , and elevate expression of the mar regulon gene ( 15 ) . NN pp-f dt FW FWRP VBZ dt NN IN TF , dt FWRP FWRP FWRP , cc VBZ FWRP pp-f dt FW FWRP FWRP ( crd ) .	OTHER
PMID_9097440_6	There is the possibility that activation of the stress response system by MarA , SoxS , and Rob activators nonspecifically increases the resistance to hydrophobic chemical compounds , including organic solvents .	there be the possibility that activation of the stress response system by mara , SoxS , and rob activator nonspecific increase the resistance to hydrophobic chemical compound , include organic solvent . pc-acp vbz dt NN cst FWRP pp-f dt FWRP FWRP FWRP IN TF , TF , cc TF NNS av-j VBZ dt FWRP p-acp JJ NN NNS , FWRP JJ NNS .	OTHER
PMID_9097440_7	Overexpression of the MarA positive regulator is sufficient to confer multiple antibiotic resistance in Escherichia coli .	overexpression of the mara positive regulator be sufficient to confer multiple antibiotic resistance in Escherichia coli . NN pp-f dt TF JJ FWRP vbz JJ p-acp VBP JJ JJ FWRP IN FW FWRP .	OTHER
PMID_9097440_8	Purification and regulatory properties of MarA protein , a transcriptional activator of Escherichia coli multiple antibiotic resistance and superoxide resistance promoters .	purification and regulatory property of mara protein , a transcriptional activator of Escherichia coli multiple antibiotic resistance and superoxide resistance promoter . NN cc JJ NNS pp-f TF FWRP , dt FWRP FWRP pp-f FW FWRP JJ JJ FWRP cc NN FWRP FWRP .	OTHER
PMID_9097440_9	Autoactivation of the marRAB multiple antibiotic resistance operon by the MarA transcriptional activator in Escherichia coli .	autoactivation of the marRAB multiple antibiotic resistance operon by the mara transcriptional activator in Escherichia coli . NN pp-f dt NN JJ JJ FWRP FWRP IN dt TF FWRP FWRP IN FW FWRP .	OTHER
PMID_9324261_1	The MarA protein is homologous to both SoxS , the effector of the soxRS regulon ( 14 , 32 ) , and RobA , a small protein that binds to the E. coli replication origin and some stress gene promoters ( 7 , 9 , 31 , 45 ) .	the mara protein be homologous to both SoxS , the effector of the soxRS regulon ( 14 , 32 ) , and RobA , a small protein that bind to the E. coli replication origin and some stress gene promoter ( 7 , 9 , 31 , 45 ) . dt TF FWRP vbz FWDOM p-acp d TF , dt FWDOM pp-f dt NN FWRP ( crd , crd ) , cc TF , dt JJ FWRP WDT FWRP p-acp dt FW FWRP FWRP NN cc d FWRP FWRP FWRP ( crd , crd , crd , crd ) .	OTHER
PMID_9324261_2	The better effect of the latter plasmid than those containing only marA could be linked to greater production of MarA protein from this plasmid ( as visualized by antibody to MarA [ 1 ] ) .	the good effect of the latter plasmid than those contain only mara can be link to great production of mara protein from this plasmid ( as visualise by antibody to mara [ 1 ] ) . dt jc NN pp-f dt JJ NN cs d VBG av-j NN vmd vbi VBN p-acp JJR NN pp-f TF FWRP pp d NN ( c-acp VBN IN NN p-acp TF ( crd ) ) .	OTHER
PMID_9324261_3	E. coli strains overexpressing MarA ( JHC1069 ; cfxB1/MarR mutation ) or SoxS ( JTG1078 ; soxR105 mutation ) grew in the presence of both n-hexane and cyclohexane , whereas wild-type GC4468 grew only in the presence of n-hexane ( Table 3 ) .	E. coli strain overexpress mara ( JHC1069 ; cfxB1/MarR mutation ) or SoxS ( JTG1078 ; soxR105 mutation ) grow in the presence of both n-hexane and cyclohexane , whereas wild-type GC4468 grow only in the presence of n-hexane ( table 3 ) . FW FWRP NNS VBG TF ( NN : NN NN ) cc TF ( NN : NN NN ) VBD IN dt FWRP pp-f CC NN cc NN , cs JJ NN VBD av-j IN dt FWRP pp-f NN ( NN LS ) .	OTHER
PMID_9324261_4	Western blot studies ( data not shown ) ( 1 ) with antibodies to MarA showed that this was at least partially due to increased expression of MarA , compared to TU2 alone , although the presence of marC may be additionally involved .	western blot study ( datum not show ) ( 1 ) with antibody to mara show that this be at little partial due to increase expression of mara , compare to TU2 alone , although the presence of marc may be additional involve . NN NN NNS ( NNS xx FWRP ) ( LS ) pp NNS p-acp TF VBN cst d vbd pp JJS av-j JJ p-acp VBN FWRP pp-f TF , VBN p-acp NN av-j , cs dt FWRP pp-f NN vmb vbi RB FWRP .	OTHER
PMID_9324261_5	Overexpression of the MarA positive regulator is sufficient to confer multiple antibiotic resistance in Escherichia coli .	overexpression of the mara positive regulator be sufficient to confer multiple antibiotic resistance in Escherichia coli . NN pp-f dt TF JJ FWRP vbz JJ p-acp VBP JJ JJ FWRP IN FW FWRP .	OTHER
PMID_8955629_1	These include the 13-kDa MarA protein ( Cohen et al. , 1993 ) , whose regulatory specificity overlaps that of SoxS ( Ariza et al. , 1995 ) , and the 33-kDa Rob protein , with an homologous N-terminus ( Skarstad et al. , 1993 ; Cohen et al. , 1993 ) .	these include the 13-kda mara protein ( Cohen et al. , 1993 ) , who regulatory specificity overlap that of SoxS ( Ariza et al. , 1995 ) , and the 33-kda rob protein , with a homologous N-terminus ( Skarstad et al. , 1993 ; Cohen et al. , 1993 ) . d VBP dt JJ TF FWRP ( np1 fw-fr FW , CD ) , r-crq JJ NN VBZ cst pp-f TF ( NNP fw-fr FW , CD ) , cc dt JJ TF FWRP , pp dt FWDOM DPOS ( NNP fw-fr FW , CD : np1 fw-fr FW , CD ) .	OTHER
PMID_8955629_2	Rob was identified by its binding to the right arm of the E. coli replication origin ( Skarstad et al. , 1993 ) ; we tested whether the sequence similarity of Rob , MarA and SoxS might underlie a regulatory overlap among these proteins .	rob be identify by its binding to the right arm of the E. coli replication origin ( Skarstad et al. , 1993 ) ; we test whether the sequence similarity of rob , mara and SoxS may underlie a regulatory overlap among these protein . TF vbd VBN IN po31 FWRP p-acp dt JJ NN pp-f dt FW FWRP FWRP NN ( NNP fw-fr FW , CD ) : pns12 VBD cs dt NN NN pp-f TF , TF cc TF vmd VBP dt JJ VBP IN d FWRP .	OTHER
PMID_8955629_3	TetD 60 SoxS 55 MarA 51 ] Cafl R 46 [ AflR 46 RhaS 31 AraC 26 Fig. 2 .	TetD 60 SoxS 55 mara 51 ] Cafl r 46 [ AflR 46 RhaS 31 AraC 26 fig. 2 . NN crd TF CD TF CD ) NNP NN CD ( NN CD TF crd TF crd n1 crd .	OTHER
PMID_8955629_4	The proteins ( SoxS , MarA , Rob , etc. ) are named after their respective genes .	the protein ( SoxS , mara , rob , etc. ) be name after their respective gene . dt FWRP ( TF , TF , TF , FW ) vbb VBN c-acp po32 JJ FWRP .	OTHER
PMID_8955629_5	The clear homology of SoxS and MarA suggests that these two proteins operate by a similar mechanism to activate some of the same genes , and our biochemical studies with the SoxS protein provide a clear guide for future work with MarA .	the clear homology of SoxS and mara suggest that these two protein operate by a similar mechanism to activate some of the same gene , and our biochemical study with the SoxS protein provide a clear guide for future work with mara . dt JJ NN pp-f TF cc TF VBZ cst d FWRP FWRP VBP IN dt FWDOM NN p-acp FWRP d pp-f dt JJ FWRP , cc po12 JJ NNS pp dt TF FWRP VBP dt JJ NN c-acp JJ NN pp TF .	OTHER
