JOURNAL	NN	journal NN PennPOS
OF	IN	of pp-f NUPOS
BACTERIOLOGY	NNP	bacteriology NN PennPOS
,	,	, , NUPOS
Oct.	NNP	Oct. NNP PennPOS
1997	CD	1997 CD PennPOS
,	,	, , NUPOS
p.	NN	p. n1 NUPOS
6122	CD	6122 CD PennPOS
--	:	-- : NUPOS
6126	CD	6126 CD PennPOS
Vol	NNP	vol n1 NUPOS
.	.	. . NUPOS

179	CD	179 crd NUPOS
,	,	, , NUPOS
No.	NN	no. NN PennPOS
19	CD	19 CD PennPOS
0021-9193/97	CD	0021-9193/97 CD PennPOS
/	:	/ : NUPOS
$	$	$ $ NONE
04.00	CD	04.00 CD PennPOS
0	CD	0 CD PennPOS
Role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
acrAB	NN	acrAB NN PennPOS
Locus	NN	locus NN PennPOS
in	IN	in IN PennPOS
Organic	NNP	Organic NNP PennPOS
Solvent	NNP	solvent NN PennPOS
Tolerance	NN	tolerance NN PennPOS
Mediated	VBN	mediate VBN PennPOS
by	IN	by IN PennPOS
Expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
marA	NNP	mara NN PennPOS
,	,	, , NUPOS
soxS	NN	soxS NN PennPOS
,	,	, , NUPOS
orrobA	NN	orrobA NN PennPOS
in	IN	in IN PennPOS
Escherichia	FW	Escherichia FW PennPOS
coli	FW	coli FW PennPOS
DAVID	NNP	David np1 NUPOS
G.	NNP	G. np1 NUPOS
WHITE	NNP	white NN PennPOS
,	,	, , NUPOS
1,2	CD	1,2 CD PennPOS
JOHN	NNP	john NN PennPOS
D.	NNP	D. NNP PennPOS
GOLDMAN	NNP	Goldman np1 NUPOS
,	,	, , NUPOS
1	CD	1 crd NUPOS
†	CD	† CD PennPOS
BRUCE	NNP	Bruce np1 NUPOS
DEMPLE	NNP	DEMPLE NNP PennPOS
,	,	, , NUPOS
3	CD	3 crd NUPOS
AND	CC	and cc NUPOS
STUART	NNP	stuart NN PennPOS
B.	NNP	B. np1 NUPOS
LEVY	NNP	levy NN PennPOS
1	CD	1 crd NUPOS
*	SYM	* SYM PennPOS
Center	NNP	center NN PennPOS
for	IN	for c-acp NUPOS
Adaptation	NNP	adaptation NN PennPOS
Genetics	NNP	genetics NN PennPOS
and	CC	and cc NUPOS
Drug	NNP	drug NN PennPOS
Resistance	NNP	resistance NN PennPOS
and	CC	and cc NUPOS
Department	NNP	department NN PennPOS
of	IN	of pp-f NUPOS
Molecular	JJ	molecular JJ PennPOS
Biology	NN	biology NN PennPOS
and	CC	and cc NUPOS
Microbiology	NNP	microbiology NN PennPOS
,	,	, , NUPOS
Tufts	NNP	Tufts np1 NUPOS
University	NNP	university NN PennPOS
School	NNP	school NN PennPOS
of	IN	of pp-f NUPOS
Medicine	NNP	medicine NN PennPOS
,	,	, , NUPOS
Boston	NNP	boston NN PennPOS
,	,	, , NUPOS
Massachusetts	NNP	massachusetts NN PennPOS
02111	CD	02111 CD PennPOS
1	CD	1 crd NUPOS
;	:	; : NUPOS
Department	NNP	department NN PennPOS
of	IN	of pp-f NUPOS
Veterinary	JJ	veterinary JJ PennPOS
and	CC	and cc NUPOS
Microbiological	NNP	Microbiological NNP PennPOS
Sciences	NNPS	science n2 NUPOS
,	,	, , NUPOS
North	NNP	north NN PennPOS
Dakota	NNP	dakota NN PennPOS
State	NNP	state NN PennPOS
University	NNP	university NN PennPOS
,	,	, , NUPOS
Fargo	NNP	fargo NN PennPOS
,	,	, , NUPOS
North	NNP	north NN PennPOS
Dakota	NNP	dakota NN PennPOS
58105	CD	58105 CD PennPOS
2	CD	2 crd NUPOS
;	:	; : NUPOS
and	CC	and cc NUPOS
Department	NNP	department NN PennPOS
of	IN	of pp-f NUPOS
Molecular	JJ	molecular JJ PennPOS
and	CC	and cc NUPOS
Cellular	JJ	cellular JJ PennPOS
Toxicology	NNP	toxicology NN PennPOS
,	,	, , NUPOS
Harvard	NNP	harvard NN PennPOS
School	NNP	school NN PennPOS
of	IN	of pp-f NUPOS
Public	NNP	public NN PennPOS
Health	NNP	health NN PennPOS
,	,	, , NUPOS
Boston	NNP	boston NN PennPOS
,	,	, , NUPOS
Massachusetts	NNP	massachusetts NN PennPOS
02115	CD	02115 CD PennPOS
3	CD	3 crd NUPOS
Escherichia	FW	Escherichia FW PennPOS
coli	FW	coli FW PennPOS
K-12	NN	K-12 NN PennPOS
strains	NNS	strain NNS PennPOS
are	VBP	be vbb NUPOS
normally	RB	normal RB PennPOS
tolerant	JJ	tolerant JJ PennPOS
to	TO	to p-acp NUPOS
n-hexane	NN	n-hexane NN PennPOS
and	CC	and cc NUPOS
susceptible	JJ	susceptible JJ PennPOS
to	TO	to p-acp NUPOS
cyclohexane	NN	cyclohexane NN PennPOS
.	.	. . NUPOS

Constitutive	JJ	constitutive JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
marA	NN	mara NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
multiple	JJ	multiple JJ PennPOS
antibiotic	JJ	antibiotic JJ PennPOS
resistance	NN	resistance NN PennPOS
(	(	( ( NUPOS
mar	FW	mar FW PennPOS
)	)	) ) NUPOS
locus	NN	locus NN PennPOS
or	CC	or cc NUPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
soxS	NN	soxS NN PennPOS
or	CC	or cc NUPOS
robA	NN	robA NN PennPOS
gene	NN	gene NN PennPOS
product	NN	product NN PennPOS
produced	VBD	produce VBD PennPOS
tolerance	NN	tolerance NN PennPOS
to	TO	to p-acp NUPOS
cyclohexane	NN	cyclohexane NN PennPOS
.	.	. . NUPOS

Inactivation	NN	inactivation NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
mar	FW	mar FW PennPOS
locus	NN	locus NN PennPOS
or	CC	or cc NUPOS
the	DT	the dt NUPOS
robA	NN	robA NN PennPOS
locus	NN	locus NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
not	RB	not xx NUPOS
the	DT	the dt NUPOS
soxRS	NN	soxRS NN PennPOS
locus	NN	locus NN PennPOS
,	,	, , NUPOS
increased	VBD	increase VBD PennPOS
organic	JJ	organic JJ PennPOS
solvent	JJ	solvent JJ PennPOS
susceptibility	NN	susceptibility NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
wild	JJ	wild JJ PennPOS
type	NN	type NN PennPOS
and	CC	and cc NUPOS
Mar	NNP	mar NN PennPOS
mutants	NNS	mutant NNS PennPOS
(	(	( ( NUPOS
to	TO	to p-acp NUPOS
both	DT	both d NUPOS
n-hexane	NN	n-hexane NN PennPOS
and	CC	and cc NUPOS
cyclohexane	NN	cyclohexane NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
organic	JJ	organic JJ PennPOS
solvent	JJ	solvent JJ PennPOS
hypersusceptibility	NN	hypersusceptibility NN PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
newly	RB	new av-j NUPOS
described	VBN	describe VBN PennPOS
phenotype	NN	phenotype NN PennPOS
for	IN	for c-acp NUPOS
a	DT	a dt NUPOS
robA-inactivated	JJ	roba-inactivated JJ PennPOS
strain	NN	strain NN PennPOS
.	.	. . NUPOS

Multicopy	JJ	multicopy JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
mar	FW	mar FW PennPOS
,	,	, , NUPOS
soxS	NN	soxS NN PennPOS
,	,	, , NUPOS
orrobA	NN	orrobA NN PennPOS
induced	VBD	induce VBD PennPOS
cyclohexane	NN	cyclohexane NN PennPOS
tolerance	NN	tolerance NN PennPOS
in	IN	in IN PennPOS
strains	NNS	strain NNS PennPOS
with	IN	with pp NUPOS
a	DT	a dt NUPOS
deleted	VBN	delete VBN PennPOS
or	CC	or cc NUPOS
inactivated	VBN	inactivate VBN PennPOS
chromosomal	JJ	chromosomal JJ PennPOS
mar	FW	mar FW PennPOS
,	,	, , NUPOS
soxRS	NN	soxRS NN PennPOS
,	,	, , NUPOS
orrobA	NN	orrobA NN PennPOS
locus	NN	locus NN PennPOS
;	:	; : NUPOS
thus	RB	thus av NUPOS
,	,	, , NUPOS
each	DT	each d NUPOS
transcriptional	JJ	transcriptional JJ PennPOS
activator	NN	activator NN PennPOS
acts	VBZ	act VBZ PennPOS
independently	RB	independent av-jn NUPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
others	NNS	other n2-jn NUPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
strain	NN	strain NN PennPOS
with	IN	with pp NUPOS
39	CD	39 CD PennPOS
kb	NN	kb NN PennPOS
of	IN	of pp-f NUPOS
chromosomal	JJ	chromosomal JJ PennPOS
DNA	NN	dna NN PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
the	DT	the dt NUPOS
mar	FW	mar FW PennPOS
locus	NN	locus NN PennPOS
,	,	, , NUPOS
deleted	VBN	delete VBN PennPOS
,	,	, , NUPOS
only	RB	only av-j NUPOS
the	DT	the dt NUPOS
multicopy	JJ	multicopy JJ PennPOS
complete	JJ	complete JJ PennPOS
mar	FW	mar FW PennPOS
locus	NN	locus NN PennPOS
,	,	, , NUPOS
consisting	VBG	consist VBG PennPOS
of	IN	of pp-f NUPOS
its	PRP$	its po31 NUPOS
two	CD	two crd NUPOS
operons	NNS	operon NNS PennPOS
,	,	, , NUPOS
produced	VBD	produce VBD PennPOS
cyclohexane	NN	cyclohexane NN PennPOS
tolerance	NN	tolerance NN PennPOS
.	.	. . NUPOS

Deletion	NN	deletion NN PennPOS
of	IN	of pp-f NUPOS
acrAB	NN	acrAB NN PennPOS
from	IN	from pp NUPOS
either	CC	either CC PennPOS
wild-type	JJ	wild-type JJ PennPOS
E.	FW	E. FW PennPOS
coli	FW	coli FW PennPOS
K-12	NN	K-12 NN PennPOS
or	CC	or cc NUPOS
a	DT	a dt NUPOS
Mar	NNP	mar NN PennPOS
mutant	NN	mutant NN PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
loss	NN	loss NN PennPOS
of	IN	of pp-f NUPOS
tolerance	NN	tolerance NN PennPOS
to	TO	to p-acp NUPOS
both	DT	both d NUPOS
n-hexane	NN	n-hexane NN PennPOS
and	CC	and cc NUPOS
cyclohexane	NN	cyclohexane NN PennPOS
.	.	. . NUPOS

Organic	NNP	Organic NNP PennPOS
solvent	JJ	solvent JJ PennPOS
tolerance	NN	tolerance NN PennPOS
mediated	VBN	mediate VBN PennPOS
by	IN	by IN PennPOS
mar	FW	mar FW PennPOS
,	,	, , NUPOS
soxS	NN	soxS NN PennPOS
,	,	, , NUPOS
orrobA	NN	orrobA NN PennPOS
was	VBD	be vbd NUPOS
not	RB	not xx NUPOS
restored	VBN	restore VBN PennPOS
in	IN	in IN PennPOS
strains	NNS	strain NNS PennPOS
with	IN	with pp NUPOS
acrAB	NN	acrAB NN PennPOS
deleted	VBN	delete VBN PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
findings	NNS	finding n2 NUPOS
strongly	RB	strong av-j NUPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
active	JJ	active JJ PennPOS
efflux	NN	efflux NN PennPOS
specified	VBN	specify VBN PennPOS
by	IN	by IN PennPOS
the	DT	the dt NUPOS
acrAB	NN	acrAB NN PennPOS
locus	NN	locus NN PennPOS
is	VBZ	be vbz NUPOS
linked	VBN	link VBN PennPOS
to	TO	to p-acp NUPOS
intrinsic	JJ	intrinsic JJ PennPOS
organic	JJ	organic JJ PennPOS
solvent	JJ	solvent JJ PennPOS
tolerance	NN	tolerance NN PennPOS
and	CC	and cc NUPOS
to	TO	to p-acp NUPOS
tolerance	NN	tolerance NN PennPOS
mediated	VBN	mediate VBN PennPOS
by	IN	by IN PennPOS
the	DT	the dt NUPOS
marA	NNP	mara NN PennPOS
,	,	, , NUPOS
soxS	NN	soxS NN PennPOS
,	,	, , NUPOS
orrobA	NN	orrobA NN PennPOS
gene	NN	gene NN PennPOS
product	NN	product NN PennPOS
in	IN	in IN PennPOS
E.	FW	E. FW PennPOS
coli	FW	coli FW PennPOS
.	.	. . NUPOS

Organic	NNP	Organic NNP PennPOS
solvents	NNS	solvent NNS PennPOS
can	MD	can vmb NUPOS
be	VB	be vbi NUPOS
toxic	JJ	toxic JJ PennPOS
to	TO	to p-acp NUPOS
microorganisms	NNS	microorganism NNS PennPOS
,	,	, , NUPOS
depending	VBG	depend VBG PennPOS
on	IN	on IN PennPOS
both	CC	both CC PennPOS
the	DT	the dt NUPOS
inherent	JJ	inherent JJ PennPOS
toxicity	NN	toxicity NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
solvent	JJ	solvent JJ PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
intrinsic	JJ	intrinsic JJ PennPOS
tolerance	NN	tolerance NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
bacterial	JJ	bacterial JJ PennPOS
species	NNS	specie NNS PennPOS
and	CC	and cc NUPOS
strain	NN	strain NN PennPOS
(	(	( ( NUPOS
3	CD	3 crd NUPOS
,	,	, , NUPOS
4	CD	4 crd NUPOS
,	,	, , NUPOS
28	CD	28 crd NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Tolerance	NN	tolerance NN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
solvent	JJ	solvent JJ PennPOS
correlates	VBZ	correlate VBZ PennPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
logarithm	NN	logarithm NN PennPOS
of	IN	of pp-f NUPOS
its	PRP$	its po31 NUPOS
partition	NN	partition NN PennPOS
coefficient	NN	coefficient NN PennPOS
with	IN	with pp NUPOS
n-octanol	NN	n-octanol NN PennPOS
and	CC	and cc NUPOS
water	NN	water NN PennPOS
(	(	( ( NUPOS
log	NN	log NN PennPOS
P	NN	p NN PennPOS
ow	NN	Ow np1 NUPOS
)	)	) ) NUPOS
(	(	( ( NUPOS
12	CD	12 crd NUPOS
,	,	, , NUPOS
24	CD	24 crd NUPOS
--	:	-- : NUPOS
26	CD	26 crd NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Organic	NNP	Organic NNP PennPOS
solvents	NNS	solvent NNS PennPOS
with	IN	with pp NUPOS
lower	JJR	low JJR PennPOS
log	NN	log NN PennPOS
P	NN	p NN PennPOS
ows	NNS	ow NNS PennPOS
are	VBP	be vbb NUPOS
more	RBR	much RBR PennPOS
toxic	JJ	toxic JJ PennPOS
to	TO	to p-acp NUPOS
microorganisms	NNS	microorganism NNS PennPOS
than	IN	than cs NUPOS
are	VBP	be vbb NUPOS
solvents	NNS	solvent NNS PennPOS
with	IN	with pp NUPOS
relatively	RB	relative av-j NUPOS
higher	JJR	high JJR PennPOS
log	NN	log NN PennPOS
P	NN	p NN PennPOS
ows	NNS	ow NNS PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
lowest	JJS	low JJS PennPOS
log	NN	log NN PennPOS
P	NN	p NN PennPOS
ow	NN	Ow np1 NUPOS
in	IN	in IN PennPOS
which	WDT	which r-crq NUPOS
a	DT	a dt NUPOS
strain	NN	strain NN PennPOS
will	MD	will vmb NUPOS
grow	VB	grow VBP PennPOS
is	VBZ	be vbz NUPOS
known	VBN	know VBN PennPOS
as	IN	as c-acp NUPOS
the	DT	the dt NUPOS
index	NN	index NN PennPOS
value	NN	value NN PennPOS
for	IN	for c-acp NUPOS
that	DT	that d NUPOS
strain	NN	strain NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
solvent	JJ	solvent JJ PennPOS
with	IN	with pp NUPOS
that	DT	that d NUPOS
log	NN	log NN PennPOS
P	NN	p NN PennPOS
ow	NN	Ow np1 NUPOS
is	VBZ	be vbz NUPOS
known	VBN	know VBN PennPOS
