promoting open complex formation
interacts with the σ70
interacts with RNA polymerase
aldehyde dehydrogenase (NAD) activity
ornithine decarboxylase inhibitor activity
phosphorelay response regulator activity
4 iron cluster binding
4 sulfur cluster binding
2 iron cluster binding
2 sulfur cluster binding
acting on acid anhydrides
core RNA polymerase binding
DNA-directed RNA polymerase activity
flavin adenine dinucleotide binding
transition metal ion binding
CoA-independent aldehyde dehydrogenase activity
NAD-dependent 4-hydroxynonenal dehydrogenase activity
NAD-dependent aldehyde dehydrogenase activity
NAD-linked aldehyde dehydrogenase activity
pyrroline-5-carboxylic acid dehydrogenase activity
two-component response regulator activity
4 sulphur cluster binding
iron-sulfur cluster 4Fe-4S binding
iron-sulphur cluster 4Fe-4S binding
tetrairon tetrasulfide cluster binding
tetrairon tetrasulphide cluster binding
iron sulfur cluster binding
iron sulphur cluster binding
2 sulphur cluster binding
diiron disulfide cluster binding
diiron disulphide cluster binding
iron-sulfur cluster 2Fe-2S binding
iron-sulphur cluster 2Fe-2S binding
acting on other substrates
sequence specific DNA binding
acyl-CoA or acyl binding
FAD or FADH2 binding
