single strand break repair
regulation of DNA recombination
ribosomal large subunit assembly
ribosomal small subunit assembly
transition metal ion transport
sulfur amino acid transport
phosphorelay signal transduction system
RNA fragment catabolic process
response to singlet oxygen
response to oxygen radical
regulation of transposition DNA-mediated
Group I intron splicing
Group II intron splicing
Group III intron splicing
DNA catabolic process endonucleolytic
DNA catabolic process exonucleolytic
regulation of cell growth
tRNA 3'-terminal CCA addition
selenium compound metabolic process
regulation of protein phosphorylation
fructose 6-phosphate metabolic process
fructose 2,6-bisphosphate metabolic process
5-phosphoribose 1-diphosphate biosynthetic process
2-deoxyribose 1-phosphate biosynthetic process
deoxyribose 1,5-bisphosphate biosynthetic process
2-deoxyribose 1-phosphate catabolic process
amino sugar metabolic process
uronic acid metabolic process
cellular glucan metabolic process
substituted mannan metabolic process
cellular aldehyde metabolic process
organic acid metabolic process
regulation of glycolytic process
energy reserve metabolic process
nucleobase-containing compound metabolic process
purine nucleobase metabolic process
purine nucleobase catabolic process
purine nucleoside catabolic process
purine nucleotide metabolic process
purine nucleotide biosynthetic process
purine nucleotide catabolic process
pyrimidine nucleobase metabolic process
pyrimidine nucleobase catabolic process
pyrimidine nucleoside metabolic process
pyrimidine nucleotide metabolic process
pyrimidine nucleotide biosynthetic process
pyrimidine nucleotide catabolic process
regulation of DNA replication
RNA-dependent DNA biosynthetic process
regulation of DNA repair
base-excision repair DNA ligation
regulation of transcription DNA-templated
adenosine to inosine editing
regulation of translational initiation
regulation of translational elongation
regulation of translational termination
regulation of translational fidelity
'de novo' protein folding
cellular protein modification process
dolichol-linked oligosaccharide biosynthetic process
oligosaccharide-lipid intermediate biosynthetic process
GPI anchor metabolic process
GPI anchor biosynthetic process
membrane protein ectodomain proteolysis
glutamate decarboxylation to succinate
amino-acid betaine metabolic process
amino-acid betaine biosynthetic process
amino-acid betaine catabolic process
fatty acid metabolic process
fatty acid biosynthetic process
neutral lipid metabolic process
membrane lipid metabolic process
phospholipid transfer to membrane
phosphatidic acid biosynthetic process
glycerol ether metabolic process
mannosyl-inositol phosphorylceramide metabolic process
